0:	55	93.295227
1:	55	94.821524
2:	55	96.347821
3:	55	97.874117
4:	55	99.400414
5:	55	100.926711
6:	55	102.453008
7:	55	103.979304
8:	55	105.505601
9:	55	107.031898
10:	55	108.558195
11:	55	110.084491
12:	55	111.610788
13:	70	81.584312
14:	70	81.636828
15:	70	81.689343
16:	70	81.741858
17:	70	81.794374
18:	70	81.846889
19:	70	81.899404
20:	70	81.951920
21:	70	82.004435
22:	70	82.056950
23:	70	82.109466
24:	70	82.161981
25:	70	82.214496
26:	70	82.267011
27:	70	82.319527
28:	70	82.372042
29:	70	82.424557
30:	70	82.477073
31:	70	82.529588
32:	70	82.582103
33:	70	82.634619
34:	70	82.687134
35:	70	82.739649
36:	70	82.792165
37:	70	82.844680
38:	70	82.897195
39:	70	82.949711
40:	70	83.002226
41:	70	83.054741
42:	70	83.107256
43:	70	83.159772
44:	70	83.212287
45:	70	83.264802
46:	70	83.317318
47:	70	83.369833
48:	70	83.422348
49:	70	83.474864
50:	70	83.527379
51:	70	83.579894
52:	70	83.632410
53:	70	83.684925
54:	70	83.737440
55:	70	83.789956
56:	70	83.842471
57:	70	83.894986
58:	70	83.947501
59:	70	84.000017
60:	70	84.052532
61:	70	84.105047
62:	70	84.157563
63:	70	84.210078
64:	70	84.262593
65:	70	84.315109
66:	70	84.367624
67:	70	84.420139
68:	70	84.472655
69:	70	84.525170
70:	70	84.577685
71:	70	84.630201
72:	70	84.682716
73:	70	84.735231
74:	70	84.787746
75:	70	84.840262
76:	70	84.892777
77:	70	84.945292
78:	70	84.997808
79:	70	85.050323
80:	70	85.102838
81:	70	85.155354
82:	70	85.207869
83:	70	85.260384
84:	70	85.312900
85:	70	85.365415
86:	70	85.417930
87:	70	85.470446
88:	70	85.522961
89:	70	85.575476
90:	70	85.627991
91:	70	85.680507
92:	70	85.733022
93:	70	85.785537
94:	70	85.838053
95:	70	85.890568
96:	70	85.943083
97:	70	85.995599
98:	70	86.048114
99:	70	86.100629
100:	70	86.153145
101:	70	86.205660
102:	70	86.258175
103:	70	86.310691
104:	70	86.363206
105:	70	86.415721
106:	70	86.468236
107:	70	86.520752
108:	70	86.573267
109:	70	86.625782
110:	70	86.678298
111:	70	86.730813
112:	70	86.783328
113:	70	86.835844
114:	70	86.888359
115:	70	86.940874
116:	70	86.993390
117:	70	87.045905
118:	70	87.098420
119:	70	87.150936
120:	70	87.203451
121:	70	87.255966
122:	70	87.308481
123:	70	87.360997
124:	70	87.413512
125:	70	87.466027
126:	70	87.518543
127:	70	87.571058
128:	70	87.623573
129:	70	87.676089
130:	70	87.728604
131:	70	87.781119
132:	70	87.833635
133:	70	87.886150
134:	70	87.938665
135:	70	87.991181
136:	70	88.043696
137:	70	88.096211
138:	70	88.148726
139:	70	88.201242
